,year_built,Price,km_driven,fuel,seller_type,transmission,previous_owners,Brand,Model
28,2013,390000,33000,Diesel,Individual,Manual,One,Chevrolet,Chevrolet Enjoy TCDi
29,2014,1964999,28000,Diesel,Dealer,Automatic,Zero,Jaguar,Jaguar XF 2.2
30,2013,1425000,59000,Diesel,Dealer,Automatic,Zero,Mercedes-Benz,Mercedes-Benz New C-Class
31,2018,975000,4500,Diesel,Dealer,Automatic,Zero,Maruti,Maruti Vitara Brezza
32,2011,1190000,175900,Diesel,Dealer,Automatic,Zero,Audi,Audi Q5 2.0
33,2018,930000,14500,Petrol,Dealer,Manual,Zero,Honda,Honda City V
34,2018,525000,15000,Petrol,Individual,Manual,Zero,Tata,Tata Tigor 1.2
35,2013,1735000,50000,Diesel,Dealer,Automatic,Zero,Audi,Audi A6 2.0
36,2012,1375000,33800,Diesel,Dealer,Automatic,One,Mercedes-Benz,Mercedes-Benz New C-Class
37,2011,450000,130400,Diesel,Dealer,Automatic,One,Skoda,Skoda Superb Ambition
38,2016,900000,50000,Petrol,Individual,Automatic,Zero,Toyota,Toyota Corolla Altis
39,2015,1300000,80000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova 2.5
40,2019,1400000,10000,Petrol,Individual,Manual,Zero,Jeep,Jeep Compass 1.4
41,2010,850000,119000,Petrol,Dealer,Automatic,Zero,Mercedes-Benz,Mercedes-Benz E-Class E
42,2013,1550000,75800,Diesel,Dealer,Automatic,One,BMW,BMW 3 Series
43,2009,1250000,78000,Diesel,Dealer,Automatic,Two,Audi,Audi Q7 35
44,2012,625000,40000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Elantra CRDi
45,2014,1050000,50000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Scorpio 1.99
46,2014,560000,74000,Diesel,Individual,Manual,One,Honda,Honda City i
47,2014,290000,64000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
48,2012,275000,60000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
49,2009,411000,120000,Diesel,Individual,Manual,One,Mahindra,Mahindra Scorpio LX
50,2009,150000,79000,Petrol,Individual,Manual,Two,Hyundai,Hyundai Santro Xing
51,2019,500000,15000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
52,2006,100000,80000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LXi
53,2017,725000,18500,Diesel,Dealer,Manual,Zero,Maruti,Maruti Swift Dzire
54,2018,401000,10200,Petrol,Dealer,Manual,Zero,Maruti,Maruti Eeco 5
55,2018,750000,29000,Diesel,Dealer,Manual,Zero,Hyundai,Hyundai i20 Sportz
56,2018,310000,28000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Omni Maruti
57,2016,665000,46000,Diesel,Dealer,Manual,Zero,Maruti,Maruti Swift ZDi
58,2014,465000,70000,Diesel,Dealer,Manual,Zero,Hyundai,Hyundai i20 2015-2017
59,2012,160000,60000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LXi
60,1996,250000,35000,Diesel,Individual,Manual,One,Mahindra,Mahindra Jeep CL
61,2014,675000,90000,Diesel,Dealer,Manual,Zero,Honda,Honda City i
62,2013,300000,80000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Wagon R
63,2005,70000,80000,Diesel,Individual,Manual,Zero,Tata,Tata Indica DLS
64,2014,240000,73300,Petrol,Dealer,Manual,One,Hyundai,Hyundai EON Magna
65,2014,525000,92000,Diesel,Dealer,Manual,Zero,Toyota,Toyota Etios GD
66,2009,151000,66764,Petrol,Dealer,Manual,One,Maruti,Maruti Alto LXi
67,2009,140000,100000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LXi
68,2010,280000,350000,Diesel,Individual,Manual,One,Chevrolet,Chevrolet Tavera Neo
69,2011,350000,230000,Diesel,Individual,Manual,Zero,Toyota,Toyota Corolla Altis
70,2017,570000,60000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Scorpio 1.99
71,2018,300000,31000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai EON Magna
72,2007,100000,39000,Diesel,Individual,Manual,Zero,Tata,Tata Indigo Classic
73,2009,500000,120000,Diesel,Individual,Manual,Two,Toyota,Toyota Innova 2.5
74,2006,130000,110000,Petrol,Individual,Manual,Two,Maruti,Maruti Swift 1.3
75,2017,925000,35000,Diesel,Individual,Manual,Zero,Ford,Ford EcoSport 1.5
76,2018,750000,60000,Diesel,Individual,Manual,Zero,Maruti,Maruti Ciaz 1.3
77,2007,200000,54000,Petrol,Individual,Automatic,One,Honda,Honda Civic 1.8
78,2010,248000,63000,Petrol,Individual,Manual,One,Hyundai,Hyundai i10 Sportz
79,2014,450000,120000,Diesel,Individual,Manual,One,Skoda,Skoda Rapid 1.5
80,2005,80000,120000,Petrol,Individual,Manual,Two,Hyundai,Hyundai Getz GLS
81,2014,650000,76000,Petrol,Individual,Manual,One,Nissan,Nissan Terrano XL
82,2015,450000,80000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
83,2019,650000,25000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Elite i20
84,2016,495000,11958,Petrol,Dealer,Manual,Zero,Honda,Honda Amaze S
85,2015,371000,20000,Petrol,Dealer,Manual,Zero,Honda,Honda Brio S
86,2017,1025000,9000,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai Creta 1.6
87,2017,8150000,6500,Diesel,Dealer,Automatic,Zero,Mercedes-Benz,Mercedes-Benz S-Class S
88,2015,750000,70000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra XUV500 W8
89,2013,600000,120000,Diesel,Individual,Manual,Zero,Renault,Renault Duster 85PS
90,2007,80000,58000,Petrol,Dealer,Manual,One,Hyundai,Hyundai Santro Xing
91,2013,325000,62200,Diesel,Dealer,Manual,Zero,Mahindra,Mahindra Bolero 2011-2019
92,2014,1470000,34000,Diesel,Dealer,Automatic,One,Audi,Audi A6 2.0
93,2015,350000,53000,Diesel,Individual,Manual,One,Fiat,Fiat Avventura MULTIJET
94,2013,2800000,49000,Diesel,Dealer,Automatic,Zero,Audi,Audi A8 4.2
95,2017,210000,15000,Petrol,Dealer,Manual,One,Datsun,Datsun RediGO 1.0
96,2013,450000,50000,Petrol,Individual,Manual,Zero,Volkswagen,Volkswagen Jetta 1.4
97,2013,1150000,53000,Diesel,Dealer,Automatic,Zero,Audi,Audi A4 2.0
98,2009,210000,63500,Petrol,Dealer,Automatic,Zero,Honda,Honda Civic 1.8
99,2018,4500000,9800,Petrol,Dealer,Automatic,Zero,Mercedes-Benz,Mercedes-Benz E-Class Exclusive
100,2017,2750000,13000,Diesel,Individual,Automatic,Zero,BMW,BMW X1 sDrive
101,2018,1975000,21000,Diesel,Dealer,Automatic,Zero,Volvo,Volvo V40 D3
102,2008,175000,29173,Petrol,Dealer,Manual,Zero,Maruti,Maruti SX4 Zxi
103,2012,2500000,48000,Diesel,Dealer,Automatic,Zero,BMW,BMW 7 Series
104,2017,628000,120000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero Power
105,2010,600000,100000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Sonata CRDi
106,2017,399000,30000,Petrol,Individual,Manual,Zero,Nissan,Nissan Micra Active
107,2018,750000,87000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Xylo D4
108,2019,750000,15000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Elite i20
109,2017,315000,16000,Petrol,Individual,Manual,Zero,Renault,Renault KWID RXT
110,2012,600000,60000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Xylo E4
111,2011,250000,110000,Petrol,Individual,Manual,Two,Maruti,Maruti SX4 ZXI
112,2017,350000,25000,Petrol,Individual,Manual,Zero,Renault,Renault KWID RXT
113,2016,780000,60000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Creta 1.4
114,2014,434000,79350,Diesel,Individual,Manual,One,Maruti,Maruti Swift Dzire
115,2016,690000,80000,Petrol,Individual,Automatic,Zero,Hyundai,Hyundai Verna 1.6
116,2014,555000,90000,Diesel,Individual,Manual,One,Mahindra,Mahindra Scorpio LX
117,2007,120000,90000,Petrol,Individual,Manual,One,Maruti,Maruti SX4 Vxi
118,2014,500000,120000,Diesel,Individual,Manual,One,Maruti,Maruti Ertiga VDI
119,2013,165000,60000,Diesel,Individual,Manual,One,Chevrolet,Chevrolet Beat Diesel
120,2004,95000,50000,Petrol,Individual,Manual,Zero,Maruti,Maruti Zen LX
121,2018,550000,20000,Petrol,Individual,Manual,Zero,Maruti,Maruti Baleno Delta
122,2012,100000,50000,Petrol,Individual,Manual,One,Tata,Tata Nano Lx
123,2012,500000,100000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova 2.5
124,2016,800000,70000,Diesel,Individual,Manual,One,Maruti,Maruti Ertiga SHVS
125,2016,840000,70000,Diesel,Individual,Manual,One,Hyundai,Hyundai Creta 1.6
126,2016,490000,50000,Petrol,Individual,Manual,Zero,Honda,Honda Amaze S
127,2010,125000,81000,Diesel,Individual,Manual,One,Tata,Tata Indica Vista
128,2012,400000,120000,Diesel,Individual,Manual,Two,Chevrolet,Chevrolet Tavera Neo
129,2015,1000000,3600,Diesel,Dealer,Manual,Zero,Chevrolet,Chevrolet Cruze LTZ
130,2015,530000,14272,Petrol,Dealer,Manual,Zero,Ford,Ford Figo Aspire
131,2017,840000,49213,Diesel,Dealer,Manual,Zero,Ford,Ford EcoSport 1.5
132,2015,229999,40000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i10 Sportz
133,2012,130000,80000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Spark 1.0
134,2015,200000,70000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai EON Era
135,2011,120000,70000,Diesel,Individual,Manual,Zero,Tata,Tata Indica Vista
136,2003,75000,57000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Santro LP
137,2016,250000,120000,Diesel,Individual,Manual,Zero,Tata,Tata Bolt Quadrajet
138,2005,100000,30000,Petrol,Individual,Manual,Zero,Maruti,Maruti 800 AC
139,2013,280000,3240,Petrol,Individual,Manual,One,Hyundai,Hyundai EON Era
140,2015,540000,5000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i20 Magna
141,2018,700000,10000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i20 1.2
142,2015,525000,100000,Diesel,Individual,Manual,Zero,Maruti,Maruti Ciaz VDi
143,2016,430000,80000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai i20 Asta
144,2002,65000,70000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Santro LE
145,2018,800000,35000,Diesel,Individual,Manual,Zero,Maruti,Maruti Vitara Brezza
146,2007,75000,114000,Petrol,Individual,Manual,One,Hyundai,Hyundai Santro Xing
147,2008,210000,53772,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Getz 1.3
148,2012,195000,140000,Diesel,Individual,Manual,One,Mahindra,Mahindra Quanto C8
149,2015,400000,120000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Tavera Neo
150,2012,170000,60000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai EON Magna
151,2016,225000,25000,Petrol,Individual,Manual,Zero,Renault,Renault KWID RXT
152,2020,240000,120000,Petrol,Individual,Manual,Zero,Maruti,Maruti Wagon R
153,2015,300000,175000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Enjoy 1.3
154,2011,99000,100000,Petrol,Individual,Manual,Two,Chevrolet,Chevrolet Spark 1.0
155,2014,620000,36000,Petrol,Individual,Manual,Zero,Honda,Honda City i
156,2013,500000,30000,Diesel,Individual,Manual,Zero,Honda,Honda Amaze VX
157,2010,2550000,40000,Petrol,Individual,Automatic,One,Jaguar,Jaguar XJ 5.0
158,2013,260000,70000,Petrol,Individual,Manual,One,Honda,Honda Brio E
159,2017,550000,60000,Petrol,Individual,Manual,Zero,Maruti,Maruti Swift VVT
160,2011,150000,155500,Diesel,Individual,Manual,Zero,Tata,Tata Indigo CR4
161,2011,350000,50000,Petrol,Individual,Automatic,One,Hyundai,Hyundai i10 Asta
162,2016,320000,40000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Beat LT
163,2015,400000,100000,Diesel,Individual,Manual,Two,Maruti,Maruti Swift VDI
164,2012,175000,80000,Petrol,Individual,Manual,Two,Maruti,Maruti Alto LXi
165,2011,120000,90000,Petrol,Individual,Manual,One,Chevrolet,Chevrolet Beat LT
166,2013,320000,90000,Diesel,Individual,Manual,One,Renault,Renault Duster 110PS
167,2006,70000,110000,Petrol,Individual,Manual,Two,Hyundai,Hyundai Santro Xing
168,2019,810000,15000,Petrol,Individual,Manual,Zero,Maruti,Maruti Swift Dzire
169,2007,95000,100000,Petrol,Individual,Manual,One,Maruti,Maruti 800 AC
170,2020,282000,40000,CNG,Individual,Manual,Zero,Maruti,Maruti Alto K10
171,2004,80000,60000,Petrol,Individual,Manual,One,Maruti,Maruti 800 Std
172,2013,72000,25000,Petrol,Individual,Manual,Zero,Tata,Tata Nano LX
173,2016,600000,25000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i20 Magna
174,2015,640000,23000,Petrol,Individual,Manual,Zero,Skoda,Skoda Rapid 1.6
175,2018,380000,22155,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto K10
176,2018,650000,70000,Petrol,Individual,Manual,Zero,Maruti,Maruti Ciaz 1.4
177,2009,150000,60000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LX
178,2009,280000,110000,Petrol,Individual,Manual,One,Hyundai,Hyundai i20 Asta
179,2018,430000,30000,Petrol,Individual,Manual,Zero,Tata,Tata Nexon 1.2
180,2019,800000,15000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero Power
181,2003,75000,100000,Diesel,Individual,Manual,One,Maruti,Maruti Zen D
182,2016,650000,70000,Diesel,Individual,Automatic,Zero,Volkswagen,Volkswagen Vento Celeste
183,2017,390000,24000,Petrol,Individual,Manual,Zero,Maruti,Maruti Eeco 7
184,2005,100000,120000,Petrol,Individual,Manual,One,Honda,Honda City 1.5
185,2013,1500000,35000,Diesel,Individual,Automatic,Zero,Mercedes-Benz,Mercedes-Benz New C-Class
186,2007,175000,78380,Petrol,Individual,Manual,Zero,Maruti,Maruti SX4 Zxi
187,2012,434999,110000,Diesel,Individual,Manual,One,Renault,Renault Duster 110PS
188,2010,170000,90000,Diesel,Individual,Manual,Two,Ford,Ford Figo Diesel
189,2011,190000,90000,Diesel,Individual,Manual,Two,Ford,Ford Figo Diesel
190,2009,250000,150000,Diesel,Individual,Manual,Two,Maruti,Maruti Swift Dzire
191,2009,229999,230000,Diesel,Individual,Manual,Two,Mahindra,Mahindra Xylo E4
192,2006,140000,70000,Petrol,Individual,Manual,Two,Maruti,Maruti Esteem Vxi
193,2017,600000,80362,Diesel,Individual,Manual,Zero,Maruti,Maruti Swift VDI
194,2012,280000,110000,Petrol,Individual,Manual,Two,Hyundai,Hyundai i20 1.2
195,2012,150000,60000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Beat Diesel
196,2015,650000,50000,Diesel,Individual,Automatic,Zero,Chevrolet,Chevrolet Cruze LTZ
197,2014,210000,40000,Petrol,Individual,Manual,One,Nissan,Nissan Micra XL
198,2017,2900000,40000,Diesel,Individual,Automatic,Zero,BMW,BMW 5 Series
199,2013,425000,20000,Diesel,Dealer,Manual,Zero,Chevrolet,Chevrolet Enjoy 1.3
200,2014,265000,55000,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai EON Era
201,2018,890000,1136,Petrol,Dealer,Manual,Zero,Fiat,Fiat Linea T
202,2013,365000,55000,Petrol,Dealer,Manual,Zero,Renault,Renault Scala RxL
203,2014,350000,43000,Petrol,Dealer,Manual,Zero,Ford,Ford Figo Petrol
204,2016,685000,60000,Diesel,Individual,Manual,Zero,Maruti,Maruti Ciaz ZDi
205,2018,940000,2650,Diesel,Dealer,Manual,Zero,Skoda,Skoda Rapid 1.5
206,2017,1000000,40000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra XUV500 W6
207,2019,1150000,15000,Petrol,Dealer,Manual,Zero,Mahindra,Mahindra XUV300 W8
208,2016,450000,115962,Diesel,Individual,Manual,One,Maruti,Maruti Ertiga SHVS
209,2015,590000,65000,Diesel,Dealer,Manual,Zero,Nissan,Nissan Terrano XE
210,2017,800000,40000,Diesel,Individual,Manual,Zero,Maruti,Maruti S-Cross Facelift
211,2012,385000,58000,Diesel,Dealer,Manual,Zero,Hyundai,Hyundai i20 Magna
212,2013,2000000,15000,Diesel,Individual,Automatic,Zero,Mercedes-Benz,Mercedes-Benz New C-Class
213,2012,235000,54000,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai EON Era
214,2017,640000,56000,Diesel,Dealer,Manual,Zero,Volkswagen,Volkswagen Ameo 1.5
215,2006,52000,120000,Petrol,Individual,Manual,Two,Maruti,Maruti Alto LX
216,2012,140000,70000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LX
217,2008,120000,90000,Petrol,Individual,Manual,One,Hyundai,Hyundai Verna i
218,2008,89999,213000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Renault Logan
219,2012,180000,120000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Optra Magnum
220,2017,1500000,20000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Scorpio S11
221,2017,700000,10000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i20 Active
222,2012,285000,80000,Diesel,Individual,Manual,One,Maruti,Maruti SX4 Celebration
223,2015,390000,90000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
224,2008,125000,80000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LXi
225,2008,225000,60000,Petrol,Individual,Manual,One,Maruti,Maruti SX4 Zxi
226,2011,175000,139000,Petrol,Individual,Manual,One,Hyundai,Hyundai i10 Era
227,2011,1075000,160000,Diesel,Individual,Manual,One,Toyota,Toyota Innova 2.5
228,2014,300000,150000,Diesel,Individual,Manual,Zero,Honda,Honda Mobilio V
229,2009,90000,120000,Diesel,Dealer,Manual,Zero,Tata,Tata Indica V2
230,2011,120000,120000,Diesel,Individual,Manual,One,Tata,Tata Indica Vista
231,2012,220000,100000,Diesel,Individual,Manual,One,Chevrolet,Chevrolet Beat Diesel
232,2015,300000,140000,Diesel,Dealer,Manual,Zero,Tata,Tata Zest Quadrajet
233,2010,180000,87000,Diesel,Dealer,Manual,One,Skoda,Skoda Fabia 1.2L
234,2013,170000,70000,Petrol,Individual,Manual,Zero,Maruti,Maruti 800 Std
235,2015,300000,50000,Petrol,Individual,Manual,One,Ford,Ford Figo Petrol
236,2014,1050000,70000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova 2.5
237,2014,300000,150000,Diesel,Individual,Manual,Zero,Honda,Honda Mobilio V
238,2018,465000,25000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
239,2011,130000,80000,Diesel,Individual,Manual,One,Chevrolet,Chevrolet Beat Diesel
240,2018,434999,10000,Petrol,Individual,Manual,Zero,Datsun,Datsun GO Plus
241,2018,500000,32000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
242,2018,200000,10000,Petrol,Individual,Manual,Zero,Maruti,Maruti Omni MPI
243,2017,625000,52000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Baleno Alpha
244,2006,110000,120000,Diesel,Individual,Manual,Two,Ford,Ford Fiesta Classic
245,2019,800000,11240,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Elite i20
246,2017,490000,66000,Diesel,Dealer,Manual,Zero,Hyundai,Hyundai Grand i10
247,2017,880000,64000,Diesel,Dealer,Manual,Zero,Maruti,Maruti Ertiga SHVS
248,2013,290000,49000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Santro Xing
249,2006,115999,100000,Diesel,Individual,Manual,One,Tata,Tata Sumo GX
250,2018,360000,26500,Petrol,Individual,Manual,Zero,Renault,Renault KWID RXT
251,2002,65000,100000,Petrol,Individual,Manual,One,Maruti,Maruti 800 AC
252,2017,685000,72000,Diesel,Dealer,Manual,Zero,Maruti,Maruti Vitara Brezza
253,2009,300000,50000,Petrol,Individual,Manual,Zero,Honda,Honda Jazz S
254,2017,680000,44000,Diesel,Dealer,Manual,Zero,Hyundai,Hyundai i20 1.4
255,2017,1000000,60000,Diesel,Individual,Manual,One,Maruti,Maruti Ertiga SHVS
256,2002,100000,120000,Diesel,Individual,Manual,Zero,Tata,Tata Sumo SE
257,2010,160000,130000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Xylo E4
258,2017,450000,70000,Diesel,Individual,Manual,Zero,Maruti,Maruti Swift ZDi
259,2014,600000,20000,Petrol,Individual,Manual,Zero,Maruti,Maruti Ertiga VXI
260,2009,180000,60000,Diesel,Individual,Manual,One,Hyundai,Hyundai i20 1.4
261,2007,100000,195000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LXi
262,2010,120000,90000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LXi
263,2006,130000,80000,Petrol,Individual,Manual,Two,Hyundai,Hyundai Getz GL
264,2011,160000,155000,Petrol,Individual,Manual,Zero,Maruti,Maruti Wagon R
265,2019,860000,35000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero Power
266,2018,650000,20000,Petrol,Individual,Manual,One,Hyundai,Hyundai i20 1.2
267,2010,100000,80000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
268,2017,282000,20000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto 800
269,2009,300000,50000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i20 Asta
270,2010,270000,110000,Petrol,Individual,Manual,One,Hyundai,Hyundai i20 Asta
271,2013,550000,29000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Verna 1.6
272,2013,450000,120000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Xylo D2
273,2011,430000,70000,Diesel,Individual,Manual,One,Mahindra,Mahindra Bolero SLX
274,2013,350000,40000,Petrol,Individual,Manual,Zero,Maruti,Maruti Ertiga VXI
275,2017,350000,20000,Petrol,Individual,Manual,Zero,Honda,Honda Brio 1.2
276,2013,229999,50000,Petrol,Individual,Manual,One,Toyota,Toyota Etios Liva
277,2013,110000,50000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto 800
278,2012,395000,49000,Petrol,Individual,Manual,One,Maruti,Maruti Swift Dzire
279,2011,650000,70000,Diesel,Individual,Automatic,One,Mahindra,Mahindra Scorpio VLS
280,2011,350000,90000,Diesel,Individual,Manual,One,Mahindra,Mahindra Bolero SLX
281,2020,1400000,25000,Diesel,Dealer,Manual,Zero,Mahindra,Mahindra XUV500 W11
282,2018,360000,4000,Petrol,Individual,Manual,Zero,Tata,Tata Tiago 1.2
283,2018,1300000,10000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Marazzo M8
284,2015,800000,15000,Diesel,Individual,Manual,Zero,Renault,Renault Duster 110PS
285,2018,229999,30000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai EON Magna
286,2014,315000,41000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Wagon R
287,2012,125000,28000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Spark 1.0
288,2019,700000,16000,Petrol,Individual,Manual,Zero,Maruti,Maruti Baleno Alpha
289,2015,160000,70000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai EON 1.0
290,2017,530000,10832,Petrol,Dealer,Manual,Zero,Ford,Ford Figo Aspire
291,2018,624000,14681,Diesel,Dealer,Manual,Zero,Ford,Ford Figo Aspire
292,2009,250000,50000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i10 Era
293,2016,585000,51000,Diesel,Dealer,Manual,Zero,Mahindra,Mahindra Bolero SLX
294,2015,500000,25000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Verna 1.4
295,2014,350000,30000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Sail 1.2
296,2014,495000,80000,Diesel,Dealer,Manual,Zero,Honda,Honda City i-DTEC
297,2017,500000,50000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
298,2015,430000,200000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero Power
299,2013,345000,44000,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai Grand i10
300,2015,500000,10000,Petrol,Individual,Manual,Zero,Maruti,Maruti Baleno Sigma
301,2019,425000,19600,Petrol,Individual,Manual,Zero,Tata,Tata Tiago 1.2
302,2005,80000,40000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
303,2011,106000,50000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Beat Diesel
304,2009,180000,46730,Petrol,Individual,Manual,Zero,Maruti,Maruti A-Star Vxi
305,2015,250000,40000,Petrol,Individual,Manual,One,Datsun,Datsun GO A
306,2011,350000,80000,Diesel,Individual,Manual,Zero,Skoda,Skoda Yeti Ambition
307,2002,60000,80000,Petrol,Individual,Manual,One,Maruti,Maruti Zen LXi
308,2018,900000,24000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Verna CRDi
